Id;AnfrageId;CPEId;Typ;ResultNr;LocalScore;GlobalScore;Created
339;101;747948;4;0;NULL;NULL;2023-07-17 23:13:08.783
340;101;747949;4;0;NULL;NULL;2023-07-17 23:13:08.783
341;101;747950;4;0;NULL;NULL;2023-07-17 23:13:08.783
342;101;747951;4;0;NULL;NULL;2023-07-17 23:13:08.783
343;101;747952;4;0;NULL;NULL;2023-07-17 23:13:08.783
344;101;747953;4;0;NULL;NULL;2023-07-17 23:13:08.783
345;101;747954;4;0;NULL;NULL;2023-07-17 23:13:08.783
346;101;747955;4;0;NULL;NULL;2023-07-17 23:13:08.783
347;101;747956;4;0;NULL;NULL;2023-07-17 23:13:08.783
348;101;747957;4;0;NULL;NULL;2023-07-17 23:13:08.783
349;101;747958;4;0;NULL;NULL;2023-07-17 23:13:08.783
350;101;747959;4;0;NULL;NULL;2023-07-17 23:13:08.783
351;101;747960;4;0;NULL;NULL;2023-07-17 23:13:08.783
352;101;747961;4;0;NULL;NULL;2023-07-17 23:13:08.783
353;47;747672;4;0;NULL;NULL;2023-07-17 23:13:08.783
354;47;747673;4;0;NULL;NULL;2023-07-17 23:13:08.783
355;47;747674;4;0;NULL;NULL;2023-07-17 23:13:08.783
356;47;747675;4;0;NULL;NULL;2023-07-17 23:13:08.783
357;47;747789;4;0;NULL;NULL;2023-07-17 23:13:08.783
358;47;747790;4;0;NULL;NULL;2023-07-17 23:13:08.783
359;47;747791;4;0;NULL;NULL;2023-07-17 23:13:08.783
360;47;747792;4;0;NULL;NULL;2023-07-17 23:13:08.783
361;47;747793;4;0;NULL;NULL;2023-07-17 23:13:08.783
362;47;747794;4;0;NULL;NULL;2023-07-17 23:13:08.783
363;47;747795;4;0;NULL;NULL;2023-07-17 23:13:08.783
364;47;747796;4;0;NULL;NULL;2023-07-17 23:13:08.783
365;47;747797;4;0;NULL;NULL;2023-07-17 23:13:08.783
366;47;747798;4;0;NULL;NULL;2023-07-17 23:13:08.783
367;47;747799;4;0;NULL;NULL;2023-07-17 23:13:08.783
368;47;747800;4;0;NULL;NULL;2023-07-17 23:13:08.783
369;47;747801;4;0;NULL;NULL;2023-07-17 23:13:08.783
370;47;747802;4;0;NULL;NULL;2023-07-17 23:13:08.783
371;47;747803;4;0;NULL;NULL;2023-07-17 23:13:08.783
372;47;747804;4;0;NULL;NULL;2023-07-17 23:13:08.783
373;47;747805;4;0;NULL;NULL;2023-07-17 23:13:08.783
374;47;747806;4;0;NULL;NULL;2023-07-17 23:13:08.783
375;47;747807;4;0;NULL;NULL;2023-07-17 23:13:08.783
376;47;747808;4;0;NULL;NULL;2023-07-17 23:13:08.783
377;47;747809;4;0;NULL;NULL;2023-07-17 23:13:08.783
378;47;747810;4;0;NULL;NULL;2023-07-17 23:13:08.783
379;47;747811;4;0;NULL;NULL;2023-07-17 23:13:08.783
380;47;747812;4;0;NULL;NULL;2023-07-17 23:13:08.783
381;47;747813;4;0;NULL;NULL;2023-07-17 23:13:08.783
382;47;747814;4;0;NULL;NULL;2023-07-17 23:13:08.783
383;47;747815;4;0;NULL;NULL;2023-07-17 23:13:08.783
384;47;747816;4;0;NULL;NULL;2023-07-17 23:13:08.783
385;47;747817;4;0;NULL;NULL;2023-07-17 23:13:08.783
386;47;747818;4;0;NULL;NULL;2023-07-17 23:13:08.783
387;47;747819;4;0;NULL;NULL;2023-07-17 23:13:08.783
388;47;747820;4;0;NULL;NULL;2023-07-17 23:13:08.783
389;47;747821;4;0;NULL;NULL;2023-07-17 23:13:08.783
390;47;747822;4;0;NULL;NULL;2023-07-17 23:13:08.783
391;47;747823;4;0;NULL;NULL;2023-07-17 23:13:08.783
392;47;747824;4;0;NULL;NULL;2023-07-17 23:13:08.783
393;47;747825;4;0;NULL;NULL;2023-07-17 23:13:08.783
394;47;747826;4;0;NULL;NULL;2023-07-17 23:13:08.783
395;47;747827;4;0;NULL;NULL;2023-07-17 23:13:08.783
396;47;747828;4;0;NULL;NULL;2023-07-17 23:13:08.783
397;47;747829;4;0;NULL;NULL;2023-07-17 23:13:08.783
398;47;747830;4;0;NULL;NULL;2023-07-17 23:13:08.783
399;47;747831;4;0;NULL;NULL;2023-07-17 23:13:08.783
400;47;747832;4;0;NULL;NULL;2023-07-17 23:13:08.783
401;47;747833;4;0;NULL;NULL;2023-07-17 23:13:08.783
402;47;747834;4;0;NULL;NULL;2023-07-17 23:13:08.783
403;47;747835;4;0;NULL;NULL;2023-07-17 23:13:08.783
404;47;747836;4;0;NULL;NULL;2023-07-17 23:13:08.783
405;47;747837;4;0;NULL;NULL;2023-07-17 23:13:08.783
406;47;747838;4;0;NULL;NULL;2023-07-17 23:13:08.783
407;47;747839;4;0;NULL;NULL;2023-07-17 23:13:08.783
