Id;AnfrageId;CPEId;Typ;ResultNr;LocalScore;GlobalScore;Created
149;42;434683;2;5;0,009920635;0,1294009;2023-07-14 00:01:48.557
150;42;NULL;1;0;NULL;NULL;2023-07-14 00:02:48.530
151;43;747002;3;0;0,04166667;0,1314521;2023-07-14 00:02:55.280
152;43;747009;3;1;0,04166667;0,1314521;2023-07-14 00:02:55.283
153;43;747007;3;2;0,04166667;0,1314521;2023-07-14 00:02:55.283
154;43;746999;3;3;0,04166667;0,1314521;2023-07-14 00:02:55.283
155;43;747003;3;4;0,04166667;0,1314521;2023-07-14 00:02:55.287
156;43;747004;3;5;0,04166667;0,1314521;2023-07-14 00:02:55.287
157;43;747002;2;0;0,001197605;0,1314521;2023-07-14 00:03:39.490
158;43;747342;2;1;0,001197605;0,1314521;2023-07-14 00:03:39.493
159;43;748171;2;2;0,001197605;0,1314521;2023-07-14 00:03:39.493
160;43;747668;2;3;0,001197605;0,1314521;2023-07-14 00:03:39.493
161;43;747669;2;4;0,001197605;0,1314521;2023-07-14 00:03:39.497
162;43;747040;2;5;0,001197605;0,1314521;2023-07-14 00:03:39.497
163;43;747002;1;0;0,04166667;0,1314521;2023-07-14 00:04:39.233
164;43;747009;1;1;0,04166667;0,1314521;2023-07-14 00:04:39.233
165;43;747007;1;2;0,04166667;0,1314521;2023-07-14 00:04:39.233
166;43;746999;1;3;0,04166667;0,1314521;2023-07-14 00:04:39.237
167;43;747003;1;4;0,04166667;0,1314521;2023-07-14 00:04:39.237
168;43;747004;1;5;0,04166667;0,1314521;2023-07-14 00:04:39.237
169;44;747676;3;0;0,001488095;0,1129336;2023-07-14 00:04:45.907
170;44;747667;3;1;0,001488095;0,1129336;2023-07-14 00:04:45.910
171;44;747678;3;2;0,001488095;0,1129336;2023-07-14 00:04:45.910
172;44;747670;3;3;0,001488095;0,1129336;2023-07-14 00:04:45.910
173;44;747671;3;4;0,001488095;0,1129336;2023-07-14 00:04:45.913
174;44;747672;3;5;0,001488095;0,1129336;2023-07-14 00:04:45.913
175;44;747676;2;0;8,75436E-07;0,1129336;2023-07-14 00:05:31.967
176;44;747740;2;1;8,75436E-07;0,1129336;2023-07-14 00:05:31.967
177;44;747882;2;2;8,75436E-07;0,1129336;2023-07-14 00:05:31.967
178;44;747939;2;3;8,75436E-07;0,1129336;2023-07-14 00:05:31.970
179;44;747009;2;4;0,0008865249;0,1314521;2023-07-14 00:05:31.970
